annotator	title	base_ID	left_ID	right_ID	Form	Content	Emotion	Style	Overall	triple_ID	Runde
AB	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	left	same	left	right	left	l0080549l00180091l00140066	Runde 1
AB	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	same	left	left	left	left	l00140078l00140084l00190035	Runde 1
AB	Der Frühling	l0080503	l00100009	l0040505	left	same	same	left	left	l00100009l0080503l0040505	Runde 1
AB	Letzte Fahrt	l0030218	l0030433	l00200188	same	same	same	same	same	l0030433l0030218l00200188	Runde 1
AB	Lied des Adlers:	l00180060	l00200135	l0080412	same	same	same	right	right	l00200135l00180060l0080412	Runde 1
AB	Triumph	l0030237	l00170195	l00130288	same	same	same	same	same	l00170195l0030237l00130288	Runde 1
AB	Alte Heimath	l00200021	l0030017	l00170194	left	same	same	left	left	l0030017l00200021l00170194	Runde 1
AB	Raub	l00170200	l00170061	l0080134	right	same	right	right	right	l00170061l00170200l0080134	Runde 1
AB	Geheimnis	l0030084	l0080129	l00200184	same	right	right	same	right	l0080129l0030084l00200184	Runde 1
AB	Die junge Mutter	l0020161	l00180062	l00160041	same	left	left	left	left	l00180062l0020161l00160041	Runde 1
AB	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	same	same	same	l0080132l0040294l0010262	Runde 1
AB	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	same	right	right	same	right	l0010042l00180051l0060062	Runde 1
AB	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	same	same	same	right	right	l0020001l00180104l0040217	Runde 1
AB	Der Brunnen	l0030127	l0040304	l0040520	same	same	same	same	same	l0040304l0030127l0040520	Runde 1
AB	Trost	l00160282	l0010076	l00140026	same	same	right	right	right	l0010076l00160282l00140026	Runde 1
AB	Eitelkeit	l00100106	l00200340	l00140177	same	same	same	same	same	l00200340l00100106l00140177	Runde 1
AB	Tausch	l0080044	l00170112	l0080333	same	right	right	right	right	l00170112l0080044l0080333	Runde 1
AB	Abendhimmel	l0030113	l0070130	l00160172	same	same	right	right	right	l0070130l0030113l00160172	Runde 1
DK	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1
DK	Schicksalswende	l00140028	l00140156	l00130138	left	same	left	same	same	l00140156l00140028l00130138	Runde 1
DK	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	left	same	left	same	same	l0080549l00180091l00140066	Runde 1
DK	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	same	same	same	same	l00140078l00140084l00190035	Runde 1
DK	Der Frühling	l0080503	l00100009	l0040505	same	same	same	same	same	l00100009l0080503l0040505	Runde 1
DK	Letzte Fahrt	l0030218	l0030433	l00200188	right	same	same	right	same	l0030433l0030218l00200188	Runde 1
DK	Lied des Adlers:	l00180060	l00200135	l0080412	right	same	left	same	same	l00200135l00180060l0080412	Runde 1
DK	Triumph	l0030237	l00170195	l00130288	same	left	same	same	same	l00170195l0030237l00130288	Runde 1
DK	Alte Heimath	l00200021	l0030017	l00170194	same	same	left	same	left	l0030017l00200021l00170194	Runde 1
DK	Raub	l00170200	l00170061	l0080134	right	same	right	right	right	l00170061l00170200l0080134	Runde 1
DK	Geheimnis	l0030084	l0080129	l00200184	same	same	same	right	same	l0080129l0030084l00200184	Runde 1
DK	Die junge Mutter	l0020161	l00180062	l00160041	same	same	left	same	same	l00180062l0020161l00160041	Runde 1
DK	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	same	left	same	l0080132l0040294l0010262	Runde 1
DK	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	same	same	same	same	same	l0010042l00180051l0060062	Runde 1
DK	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	left	same	same	left	same	l0020001l00180104l0040217	Runde 1
DK	Der Brunnen	l0030127	l0040304	l0040520	same	right	right	right	right	l0040304l0030127l0040520	Runde 1
DK	Trost	l00160282	l0010076	l00140026	same	same	same	left	same	l0010076l00160282l00140026	Runde 1
DK	Eitelkeit	l00100106	l00200340	l00140177	same	same	same	same	same	l00200340l00100106l00140177	Runde 1
DK	Tausch	l0080044	l00170112	l0080333	left	same	left	same	left	l00170112l0080044l0080333	Runde 1
DK	Abendhimmel	l0030113	l0070130	l00160172	same	same	same	same	same	l0070130l0030113l00160172	Runde 1
FJ	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1
FJ	Schicksalswende	l00140028	l00140156	l00130138	left	left	left	left	left	l00140156l00140028l00130138	Runde 1
FJ	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	same	left	left	same	left	l0080549l00180091l00140066	Runde 1
FJ	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	left	left	left	left	l00140078l00140084l00190035	Runde 1
FJ	Der Frühling	l0080503	l00100009	l0040505	left	left	same	same	left	l00100009l0080503l0040505	Runde 1
FJ	Letzte Fahrt	l0030218	l0030433	l00200188	same	left	same	same	left	l0030433l0030218l00200188	Runde 1
FJ	Lied des Adlers:	l00180060	l00200135	l0080412	same	same	same	same	same	l00200135l00180060l0080412	Runde 1
FJ	Triumph	l0030237	l00170195	l00130288	same	right	same	same	same	l00170195l0030237l00130288	Runde 1
FJ	Alte Heimath	l00200021	l0030017	l00170194	same	same	same	left	same	l0030017l00200021l00170194	Runde 1
FJ	Raub	l00170200	l00170061	l0080134	right	left	same	right	same	l00170061l00170200l0080134	Runde 1
FJ	Geheimnis	l0030084	l0080129	l00200184	same	same	same	right	same	l0080129l0030084l00200184	Runde 1
FJ	Die junge Mutter	l0020161	l00180062	l00160041	same	right	right	same	right	l00180062l0020161l00160041	Runde 1
FJ	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	same	same	same	l0080132l0040294l0010262	Runde 1
FJ	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	same	same	same	same	same	l0010042l00180051l0060062	Runde 1
FJ	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	same	same	same	same	same	l0020001l00180104l0040217	Runde 1
FJ	Der Brunnen	l0030127	l0040304	l0040520	same	same	same	same	same	l0040304l0030127l0040520	Runde 1
FJ	Trost	l00160282	l0010076	l00140026	same	left	left	same	left	l0010076l00160282l00140026	Runde 1
FJ	Eitelkeit	l00100106	l00200340	l00140177	left	same	same	same	same	l00200340l00100106l00140177	Runde 1
FJ	Tausch	l0080044	l00170112	l0080333	left	same	same	same	same	l00170112l0080044l0080333	Runde 1
FJ	Abendhimmel	l0030113	l0070130	l00160172	same	same	same	right	same	l0070130l0030113l00160172	Runde 1
JB	Sehnsucht	l0020119	l0090085	l00200112	right	same	right	right	right	l0090085l0020119l00200112	Runde 1
JB	Schicksalswende	l00140028	l00140156	l00130138	same	left	left	right	left	l00140156l00140028l00130138	Runde 1
JB	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	left	left	left	right	left	l0080549l00180091l00140066	Runde 1
JB	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	same	left	same	same	same	l00140078l00140084l00190035	Runde 1
JB	Der Frühling	l0080503	l00100009	l0040505	left	same	same	same	same	l00100009l0080503l0040505	Runde 1
JB	Letzte Fahrt	l0030218	l0030433	l00200188	same	same	same	same	same	l0030433l0030218l00200188	Runde 1
JB	Lied des Adlers:	l00180060	l00200135	l0080412	same	same	same	same	same	l00200135l00180060l0080412	Runde 1
JB	Triumph	l0030237	l00170195	l00130288	same	right	right	same	right	l00170195l0030237l00130288	Runde 1
JB	Alte Heimath	l00200021	l0030017	l00170194	left	same	left	left	left	l0030017l00200021l00170194	Runde 1
JB	Raub	l00170200	l00170061	l0080134	same	right	same	same	same	l00170061l00170200l0080134	Runde 1
JE	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1
JE	Schicksalswende	l00140028	l00140156	l00130138	same	left	left	same	left	l00140156l00140028l00130138	Runde 1
JE	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	left	same	left	right	left	l0080549l00180091l00140066	Runde 1
JE	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	left	same	left	left	l00140078l00140084l00190035	Runde 1
JE	Der Frühling	l0080503	l00100009	l0040505	left	same	same	same	left	l00100009l0080503l0040505	Runde 1
JE	Letzte Fahrt	l0030218	l0030433	l00200188	same	same	same	left	left	l0030433l0030218l00200188	Runde 1
JE	Lied des Adlers:	l00180060	l00200135	l0080412	same	same	same	left	left	l00200135l00180060l0080412	Runde 1
JE	Triumph	l0030237	l00170195	l00130288	same	same	same	same	same	l00170195l0030237l00130288	Runde 1
JE	Alte Heimath	l00200021	l0030017	l00170194	left	same	left	left	left	l0030017l00200021l00170194	Runde 1
JE	Raub	l00170200	l00170061	l0080134	right	right	right	right	right	l00170061l00170200l0080134	Runde 1
JE	Geheimnis	l0030084	l0080129	l00200184	right	left	left	left	left	l0080129l0030084l00200184	Runde 1
JE	Die junge Mutter	l0020161	l00180062	l00160041	same	same	left	same	left	l00180062l0020161l00160041	Runde 1
JE	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	right	left	right	l0080132l0040294l0010262	Runde 1
JE	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	right	same	right	right	right	l0010042l00180051l0060062	Runde 1
JE	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	same	same	same	same	same	l0020001l00180104l0040217	Runde 1
JE	Der Brunnen	l0030127	l0040304	l0040520	same	same	same	right	right	l0040304l0030127l0040520	Runde 1
JE	Trost	l00160282	l0010076	l00140026	same	left	same	same	left	l0010076l00160282l00140026	Runde 1
JE	Eitelkeit	l00100106	l00200340	l00140177	same	same	same	same	same	l00200340l00100106l00140177	Runde 1
JE	Tausch	l0080044	l00170112	l0080333	left	same	left	same	left	l00170112l0080044l0080333	Runde 1
JE	Abendhimmel	l0030113	l0070130	l00160172	left	same	right	left	right	l0070130l0030113l00160172	Runde 1
MK	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1
MK	Schicksalswende	l00140028	l00140156	l00130138	same	left	left	same	left	l00140156l00140028l00130138	Runde 1
MK	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	left	same	left	right	left	l0080549l00180091l00140066	Runde 1
MK	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	left	right	left	left	l00140078l00140084l00190035	Runde 1
MK	Der Frühling	l0080503	l00100009	l0040505	left	left	same	same	left	l00100009l0080503l0040505	Runde 1
MK	Letzte Fahrt	l0030218	l0030433	l00200188	same	left	same	left	left	l0030433l0030218l00200188	Runde 1
MK	Lied des Adlers:	l00180060	l00200135	l0080412	same	same	same	left	left	l00200135l00180060l0080412	Runde 1
MK	Triumph	l0030237	l00170195	l00130288	same	same	right	same	right	l00170195l0030237l00130288	Runde 1
MK	Alte Heimath	l00200021	l0030017	l00170194	left	same	left	left	left	l0030017l00200021l00170194	Runde 1
MK	Raub	l00170200	l00170061	l0080134	right	right	right	right	right	l00170061l00170200l0080134	Runde 1
MK	Geheimnis	l0030084	l0080129	l00200184	right	left	left	left	left	l0080129l0030084l00200184	Runde 1
MK	Die junge Mutter	l0020161	l00180062	l00160041	right	left	left	same	left	l00180062l0020161l00160041	Runde 1
MK	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	right	same	same	l0080132l0040294l0010262	Runde 1
MK	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	right	same	right	same	right	l0010042l00180051l0060062	Runde 1
MK	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	same	same	same	same	same	l0020001l00180104l0040217	Runde 1
MK	Der Brunnen	l0030127	l0040304	l0040520	same	same	same	same	same	l0040304l0030127l0040520	Runde 1
MK	Trost	l00160282	l0010076	l00140026	left	left	left	left	left	l0010076l00160282l00140026	Runde 1
MK	Eitelkeit	l00100106	l00200340	l00140177	left	left	same	same	left	l00200340l00100106l00140177	Runde 1
MK	Tausch	l0080044	l00170112	l0080333	left	same	left	same	left	l00170112l0080044l0080333	Runde 1
MK	Abendhimmel	l0030113	l0070130	l00160172	same	same	right	same	right	l0070130l0030113l00160172	Runde 1
MG	Sehnsucht	l0020119	l0090085	l00200112	right	right	right	right	right	l0090085l0020119l00200112	Runde 1
MG	Schicksalswende	l00140028	l00140156	l00130138	left	left	left	left	left	l00140156l00140028l00130138	Runde 1
MG	Musik bewegt mich, daß ich dein gedenke	l00180091	l0080549	l00140066	same	left	left	same	left	l0080549l00180091l00140066	Runde 1
MG	Mutter der Barmherzigkeit...	l00140084	l00140078	l00190035	left	left	same	left	left	l00140078l00140084l00190035	Runde 1
MG	Der Frühling	l0080503	l00100009	l0040505	left	left	same	same	left	l00100009l0080503l0040505	Runde 1
MG	Letzte Fahrt	l0030218	l0030433	l00200188	same	left	right	same	same	l0030433l0030218l00200188	Runde 1
MG	Lied des Adlers:	l00180060	l00200135	l0080412	same	left	same	same	left	l00200135l00180060l0080412	Runde 1
MG	Triumph	l0030237	l00170195	l00130288	same	right	same	same	same	l00170195l0030237l00130288	Runde 1
MG	Alte Heimath	l00200021	l0030017	l00170194	same	same	same	same	same	l0030017l00200021l00170194	Runde 1
MG	Raub	l00170200	l00170061	l0080134	same	right	right	same	right	l00170061l00170200l0080134	Runde 1
MG	Geheimnis	l0030084	l0080129	l00200184	right	same	left	left	same	l0080129l0030084l00200184	Runde 1
MG	Die junge Mutter	l0020161	l00180062	l00160041	right	same	left	same	right	l00180062l0020161l00160041	Runde 1
MG	Sieben Billionen Jahre vor meiner Geburt	l0040294	l0080132	l0010262	same	same	right	same	same	l0080132l0040294l0010262	Runde 1
MG	Du findest zuletzt noch eine Bank	l00180051	l0010042	l0060062	right	same	right	same	right	l0010042l00180051l0060062	Runde 1
MG	Meine Finger krümme ich zum Spiele	l00180104	l0020001	l0040217	same	same	same	same	same	l0020001l00180104l0040217	Runde 1
MG	Der Brunnen	l0030127	l0040304	l0040520	same	same	same	left	same	l0040304l0030127l0040520	Runde 1
MG	Trost	l00160282	l0010076	l00140026	left	left	left	same	left	l0010076l00160282l00140026	Runde 1
MG	Eitelkeit	l00100106	l00200340	l00140177	left	same	same	same	same	l00200340l00100106l00140177	Runde 1
MG	Tausch	l0080044	l00170112	l0080333	left	right	left	left	left	l00170112l0080044l0080333	Runde 1
MG	Abendhimmel	l0030113	l0070130	l00160172	left	same	same	left	same	l0070130l0030113l00160172	Runde 1
Set5_MG	Sei nur robust! 	l0090065	l0010208	l00160300	left	right	same	right	right	l0010208l0090065l00160300	Runde 2
Set5_MG	Nachtlied 	l00200135	l0010170	l0030065	same	same	same	same	same	l0010170l00200135l0030065	Runde 2
Set5_MG	Guter Rat 	l00130384	l0060053	l0020093	same	right	same	right	right	l0060053l00130384l0020093	Runde 2
Set5_MG	Der Wanderer und das Blumenmädchen 	l0030174	l00130444	l00180026	same	right	right	right	right	l00130444l0030174l00180026	Runde 2
Set5_MG	Wenn du ein Herz gefunden 	l0010238	l00140045	l0010202	right	same	right	same	right	l00140045l0010238l0010202	Runde 2
Set5_MG	Fromme Bücher 	l00160212	l0010280	l0060062	right	right	right	right	right	l0010280l00160212l0060062	Runde 2
Set5_MG	Dahin! 	l00200242	l0040524	l0080305	right	left	left	right	right	l0040524l00200242l0080305	Runde 2
Set5_MG	König Föhn 	l00130449	l00140024	l0060053	right	right	right	right	right	l00140024l00130449l0060053	Runde 2
Set5_MG	Gleichgültigkeit 	l00130210	l00180026	l00140150	left	left	right	right	left	l00180026l00130210l00140150	Runde 2
Set5_MG	Tausch 	l0080044	l0010076	l0080462	left	same	right	right	right	l0010076l0080044l0080462	Runde 2
Set5_MG	Porträt des Marquis de... 	l0040554	l0080361	l00130138	same	same	left	same	same	l0080361l0040554l00130138	Runde 2
Set5_MG	Die Betrogene 	l00200179	l0020039	l0080578	same	right	right	same	same	l0020039l00200179l0080578	Runde 2
Set5_MG	Stör nicht den Traum der Kinder – 	l00160112	l00130162	l00180047	right	same	same	same	same	l00130162l00160112l00180047	Runde 2
Set5_MG	Nur 	l00180026	l00130355	l00180069	left	right	left	right	right	l00130355l00180026l00180069	Runde 2
Set5_MG	Letzte Fahrt 	l0030218	l0010082	l00180079	left	left	same	left	left	l0010082l0030218l00180079	Runde 2
Set5_MG	Enttäuschung 	l00160262	l0030174	l0080165	right	right	same	right	right	l0030174l00160262l0080165	Runde 2
Set5_MG	Der Gast 	l00140122	l0080502	l00140083	right	same	right	right	right	l0080502l00140122l00140083	Runde 2
Set5_MG	Ich will mich in dein Herz gewöhnen 	l0080412	l0040509	l00130070	right	same	left	right	same	l0040509l0080412l00130070	Runde 2
Set5_MG	Albumblatt 	l0030373	l00140029	l00180143	left	same	left	right	same	l00140029l0030373l00180143	Runde 2
Set5_MG	Fremd in der Fremde – 	l0010082	l00200112	l00110078	right	right	same	same	right	l00200112l0010082l00110078	Runde 2
Set5_MG	Magdalene 	l0080578	l00200179	l00180026	right	left	left	right	right	l00200179l0080578l00180026	Runde 2
Set5_MG	Im Kreise 	l00130444	l00200202	l0010273	left	same	same	left	left	l00200202l00130444l0010273	Runde 2
Set5_MG	Feldeinsamkeit 	l00160004	l0080361	l0030243	left	same	same	left	same	l0080361l00160004l0030243	Runde 2
Set5_MG	Ahnung 	l0030052	l00140198	l00160119	same	same	left	left	same	l00140198l0030052l00160119	Runde 2
Set5_MG	Warnung 	l00130162	l00200245	l00200254	same	same	same	same	same	l00200245l00130162l00200254	Runde 2
Set5_MG	Am Meer 	l0060056	l00130164	l00130257	right	right	right	right	right	l00130164l0060056l00130257	Runde 2
Set5_MG	Die Betrogene 	l00200179	l0080578	l00130268	left	left	left	same	left	l0080578l00200179l00130268	Runde 2
Set5_MG	Gleichgültigkeit 	l00130210	l00140150	l00110078	right	right	same	right	right	l00140150l00130210l00110078	Runde 2
Set5_MG	3. Meine Augen 	l0020178	l00180018	l0030167	left	same	same	left	same	l00180018l0020178l0030167	Runde 2
Set5_MG	Lady Rosa 	l0030184	l00160212	l0030325	same	same	same	same	same	l00160212l0030184l0030325	Runde 2
Set5_AB	Sei nur robust! 	l0090065	l0010208	l00160300	left	same	same	left	left	l0010208l0090065l00160300	Runde 2
Set5_AB	Nachtlied 	l00200135	l0010170	l0030065	same	right	right	same	same	l0010170l00200135l0030065	Runde 2
Set5_AB	Guter Rat 	l00130384	l0060053	l0020093	same	same	same	same	same	l0060053l00130384l0020093	Runde 2
Set5_AB	Der Wanderer und das Blumenmädchen 	l0030174	l00130444	l00180026	same	right	right	right	right	l00130444l0030174l00180026	Runde 2
Set5_AB	Wenn du ein Herz gefunden 	l0010238	l00140045	l0010202	same	same	same	same	same	l00140045l0010238l0010202	Runde 2
Set5_AB	Fromme Bücher 	l00160212	l0010280	l0060062	right	same	right	right	right	l0010280l00160212l0060062	Runde 2
Set5_AB	Dahin! 	l00200242	l0040524	l0080305	right	same	right	same	right	l0040524l00200242l0080305	Runde 2
Set5_AB	König Föhn 	l00130449	l00140024	l0060053	right	right	right	right	right	l00140024l00130449l0060053	Runde 2
Set5_AB	Gleichgültigkeit 	l00130210	l00180026	l00140150	same	left	left	left	left	l00180026l00130210l00140150	Runde 2
Set5_AB	Tausch 	l0080044	l0010076	l0080462	same	same	right	same	same	l0010076l0080044l0080462	Runde 2
Set5_AB	Porträt des Marquis de... 	l0040554	l0080361	l00130138	same	same	same	same	same	l0080361l0040554l00130138	Runde 2
Set5_AB	Die Betrogene 	l00200179	l0020039	l0080578	same	right	right	same	right	l0020039l00200179l0080578	Runde 2
Set5_AB	Stör nicht den Traum der Kinder – 	l00160112	l00130162	l00180047	same	same	right	right	right	l00130162l00160112l00180047	Runde 2
Set5_AB	Nur 	l00180026	l00130355	l00180069	same	right	right	right	right	l00130355l00180026l00180069	Runde 2
Set5_AB	Letzte Fahrt 	l0030218	l0010082	l00180079	left	same	left	left	left	l0010082l0030218l00180079	Runde 2
Set5_AB	Enttäuschung 	l00160262	l0030174	l0080165	right	right	right	right	right	l0030174l00160262l0080165	Runde 2
Set5_AB	Der Gast 	l00140122	l0080502	l00140083	right	same	same	right	same	l0080502l00140122l00140083	Runde 2
Set5_AB	Ich will mich in dein Herz gewöhnen 	l0080412	l0040509	l00130070	same	left	left	left	left	l0040509l0080412l00130070	Runde 2
Set5_AB	Albumblatt 	l0030373	l00140029	l00180143	same	same	same	same	same	l00140029l0030373l00180143	Runde 2
